,wallet,num_transactions,unique_tokens,total_value_sent,total_value_received,avg_tx_value,first_tx,last_tx,active_days,raw_risk_score,risk_score,model_predicted_score
0,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,1.0,0.6666666666666666,0.0004309429288652002,2.4428206915660224e-28,2.3757624632447204e-26,2023-01-12 00:28:59+00:00,2025-06-16 21:15:11+00:00,0.3722689075630252,0.004517518415070865,5,7.94
1,0x06b51c6882b27cb05e712185531c1f74996dd988,0.010204081632653062,0.022222222222222223,2.3999120588596315e-21,6.168548078846612e-40,2.057078134208642e-38,2020-10-16 00:13:42+00:00,2020-10-16 00:16:57+00:00,0.0,0.9032463938712708,903,903.0
2,0x0795732aacc448030ef374374eaae57d2965c16c,0.010204081632653062,0.022222222222222223,2.3999120588596315e-21,6.144497840886838e-40,2.0490613882220508e-38,2020-11-25 12:42:08+00:00,2020-11-25 13:13:37+00:00,0.0,0.9032463938715913,903,903.0
3,0x0aaa79f1a86bc8136cd0d1ca0d51964f4e3766f9,0.5612244897959183,0.6444444444444445,0.0007002589372792759,2.5063974679302958e-21,4.3972555716481515e-21,2019-07-28 05:17:20+00:00,2024-09-18 16:16:11+00:00,0.7894957983193278,0.013360139002401926,14,13.37
4,0x0fe383e5abc200055a7f391f94a5f5d1f844b9ae,0.010204081632653062,0.022222222222222223,2.3999120588596315e-21,6.16700685039419e-40,2.056564391391168e-38,2020-10-21 12:38:58+00:00,2020-10-21 13:02:48+00:00,0.0,0.9032463938712912,903,903.0
5,0x104ae61d8d487ad689969a17807ddc338b445416,0.010204081632653062,0.022222222222222223,2.3999120588596315e-21,6.1321613079947494e-40,2.0449492105913548e-38,2020-12-16 04:58:33+00:00,2020-12-16 05:19:37+00:00,0.0,0.9032463938717568,903,903.0
6,0x111c7208a7e2af345d36b6d4aace8740d61a3078,0.02040816326530612,0.022222222222222223,1.130728597684139e-17,6.159106067098564e-40,3.0817514623146136e-38,2020-11-05 19:34:53+00:00,2020-11-05 20:16:30+00:00,0.0,0.8451942592789045,845,852.33
7,0x124853fecb522c57d9bd5c21231058696ca6d596,0.03061224489795918,0.04444444444444444,2.988793840179196e-20,6.1724733608587315e-40,1.2368235754962588e-38,2020-11-08 04:54:42+00:00,2020-11-08 05:26:05+00:00,0.0,0.74199046444763,742,735.11
8,0x13b1c8b0e696aff8b4fee742119b549b605f3cbc,0.010204081632653062,0.022222222222222223,2.3999120588596315e-21,6.133114700700825e-40,2.0452670081600463e-38,2020-12-14 07:21:59+00:00,2020-12-14 07:25:50+00:00,0.0,0.9032463938717439,903,903.0
9,0x1656f1886c5ab634ac19568cd571bc72f385fdf7,1.0,0.17777777777777778,1.2237584450568253e-06,6.67713741327348e-29,1.3354274826596533e-28,2021-03-02 01:58:16+00:00,2021-06-17 09:10:49+00:00,0.04495798319327732,0.06396149999571935,64,64.62
10,0x1724e16cb8d0e2aa4d08035bc6b5c56b680a3b22,0.02040816326530612,0.022222222222222223,4.4823069526545846e-11,2.445660719003647e-33,1.2228303567097215e-31,2021-06-06 00:01:40+00:00,2021-06-27 16:56:36+00:00,0.008823529411764706,0.4918334399381158,492,472.15
11,0x19df3e87f73c4aaf4809295561465b993e102668,0.15306122448979592,0.15555555555555556,1.8587293759428957e-06,1.5414416463510672e-28,1.5033009893572658e-27,2019-08-02 17:34:26+00:00,2025-05-28 01:39:23+00:00,0.8928571428571429,0.11883144344882024,119,113.18
12,0x1ab2ccad4fc97c9968ea87d4435326715be32872,0.010204081632653062,0.022222222222222223,2.3999120588596315e-21,6.15414542105432e-40,2.0522772482778783e-38,2020-11-14 16:15:58+00:00,2020-11-14 16:25:38+00:00,0.0,0.9032463938714624,903,903.0
13,0x1c1b30ca93ef57452d53885d97a74f61daf2bf4f,0.38775510204081626,0.24444444444444444,3.0444909850125347e-07,2.92308820178154e-29,1.1460599845687607e-28,2021-01-03 09:10:19+00:00,2021-08-31 14:10:25+00:00,0.10084033613445378,0.059019233147735585,59,53.87
14,0x1e43dacdcf863676a6bec8f7d6896d6252fac669,0.0,0.022222222222222223,0.0,1.9487302059046834e-42,1.1942079794854802e-40,2020-12-12 23:06:43+00:00,2020-12-13 00:06:46+00:00,0.0,0.9999999683788013,999,971.27
15,0x22d7510588d90ed5a87e0f838391aaafa707c34b,1.0,0.35555555555555557,1.9300473258012e-05,9.5051968775657e-28,2.0036026111596565e-27,2021-01-04 18:46:38+00:00,2022-02-20 12:55:48+00:00,0.17268907563025213,0.024333217431679162,25,26.36
16,0x24b3460622d835c56d9a4fe352966b9bdc6c20af,0.010204081632653062,0.022222222222222223,2.3999120588596315e-21,6.1556268140484515e-40,2.0527710459425885e-38,2020-11-11 19:52:01+00:00,2020-11-11 20:03:52+00:00,0.0,0.9032463938714427,903,903.0
17,0x26750f1f4277221bdb5f6991473c6ece8c821f9d,0.02040816326530612,0.04444444444444444,2.3999120588596315e-21,2.618906764545764e-33,6.547266911280995e-32,2019-08-21 07:57:33+00:00,2020-12-14 06:09:36+00:00,0.20168067226890757,0.39528352498754643,395,403.3
18,0x27f72a000d8e9f324583f3a3491ea66998275b28,0.010204081632653062,0.022222222222222223,2.3999120588596315e-21,6.158551994726804e-40,2.053746106168706e-38,2020-11-06 20:18:51+00:00,2020-11-06 20:23:33+00:00,0.0,0.9032463938714038,903,903.0
19,0x2844658bf341db96aa247259824f42025e3bcec2,0.010204081632653062,0.022222222222222223,2.3999120588596315e-21,6.132289448017339e-40,2.0449919239322176e-38,2020-12-15 06:54:54+00:00,2020-12-15 23:00:30+00:00,0.0,0.903246393871755,903,903.0
20,0x2a2fde3e1beb508fcf7c137a1d5965f13a17825e,0.010204081632653062,0.022222222222222223,2.3999120588596315e-21,6.161774749926043e-40,2.0548203579017857e-38,2020-11-01 01:50:47+00:00,2020-11-01 01:57:18+00:00,0.0,0.9032463938713607,903,903.0
21,0x330513970efd9e8dd606275fb4c50378989b3204,0.7857142857142856,0.2888888888888889,0.0013264198526667232,7.383594764579536e-26,1.8507441691105538e-25,2018-09-20 10:16:36+00:00,2023-11-09 02:02:59+00:00,0.7878151260504203,0.03448930950843553,35,35.67
22,0x3361bea43c2f5f963f81ac70f64e6fba1f1d2a97,0.6020408163265305,0.2888888888888889,6.676486989916607e-05,3.643170007350808e-27,1.1944313386790356e-26,2019-05-03 11:44:28+00:00,2020-04-24 17:15:36+00:00,0.15000000000000002,0.040446463714963986,41,39.58
23,0x3867d222ba91236ad4d12c31056626f9e798629c,0.010204081632653062,0.022222222222222223,2.3999120588596315e-21,6.1335217882743e-40,2.0454027040178715e-38,2020-12-13 11:30:12+00:00,2020-12-13 11:47:10+00:00,0.0,0.9032463938717384,903,903.0
24,0x3a44be4581137019f83021eeee72b7dc57756069,0.010204081632653062,0.022222222222222223,2.3999120588596315e-21,6.165946297286219e-40,2.0562108736885114e-38,2020-10-23 17:53:19+00:00,2020-10-23 17:58:00+00:00,0.0,0.9032463938713053,903,903.0
25,0x3e69ad05716bdc834db72c4d6d44439a7c8a902b,0.02040816326530612,0.022222222222222223,4.799824117719263e-21,1.2319729425410844e-39,3.080176303859702e-38,2020-11-13 07:57:42+00:00,2020-11-13 18:46:12+00:00,0.0,0.8451942592378632,845,856.53
26,0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,1.0,0.24444444444444444,4.343241895443815e-06,2.239062529322917e-28,4.608845804145793e-28,2019-12-13 23:05:07+00:00,2025-04-27 17:43:11+00:00,0.8239495798319328,0.03939243513918677,40,43.58
27,0x4814be124d7fe3b240eb46061f7ddfab468fe122,1.0,0.24444444444444444,6.972772887662439e-07,3.806731600152883e-29,7.611253882378132e-29,2020-11-05 00:32:13+00:00,2021-03-28 15:08:54+00:00,0.06008403361344539,0.044336253511916786,45,47.15
28,0x4839e666e2baf12a51bf004392b35972eeddeabf,0.15306122448979592,0.06666666666666667,1.4174838546452276e-06,7.734152533834026e-29,9.099002980981028e-28,2020-12-28 21:11:47+00:00,2021-02-09 09:22:22+00:00,0.017647058823529415,0.20486162308563913,205,202.17
29,0x4c4d05fe859279c91b074429b5fc451182cec745,0.0,0.022222222222222223,0.0,0.0,2.198428765331386e-41,2020-12-17 22:26:11+00:00,2020-12-17 22:27:43+00:00,0.0,0.9999999999999999,1000,985.27
30,0x4d997c89bc659a3e8452038a8101161e7e7e53a7,0.8775510204081631,0.4444444444444445,7.3685423081913214e-06,4.02004102815052e-28,9.136937698877019e-28,2019-03-30 18:32:05+00:00,2021-08-05 13:28:41+00:00,0.36050420168067226,0.017090571605065122,18,18.62
31,0x4db0a72edb5ea6c55df929f76e7d5bb14e389860,0.010204081632653062,0.022222222222222223,2.3999120588596315e-21,6.146909104444963e-40,2.049865142741426e-38,2020-11-22 22:18:47+00:00,2020-11-22 22:30:03+00:00,0.0,0.9032463938715591,903,903.0
32,0x4e61251336c32e4fe6bfd5fab014846599321389,0.010204081632653062,0.022222222222222223,2.3999120588596315e-21,6.1328911879729266e-40,2.0451925039174137e-38,2020-12-14 17:05:17+00:00,2020-12-14 18:07:54+00:00,0.0,0.9032463938717469,903,903.0
33,0x4e6e724f4163b24ffc7ffe662b5f6815b18b4210,0.03061224489795918,0.04444444444444444,7.244836796735258e-08,3.9529672732282034e-30,1.5811869091679459e-28,2020-10-28 22:50:33+00:00,2021-05-04 10:00:08+00:00,0.07857142857142858,0.35907162243282637,359,384.18
34,0x507b6c0d950702f066a9a1bd5e85206f87b065ba,0.24489795918367344,0.17777777777777778,0.2404768198186468,1.3121027674536611e-23,1.0093097985505515e-22,2021-07-06 14:23:55+00:00,2022-04-01 19:07:28+00:00,0.11302521008403363,0.09122262401927231,92,93.66
35,0x54e19653be9d4143b08994906be0e27555e8834d,0.12244897959183673,0.022222222222222223,7.886239115119096e-18,4.292495988689252e-40,6.116846928408673e-39,2019-07-19 21:41:28+00:00,2019-07-19 22:27:39+00:00,0.0,0.6903885670678922,690,687.64
36,0x56ba823641bfc317afc8459bf27feed6eb9ff59f,0.010204081632653062,0.022222222222222223,2.3999120588596315e-21,6.150873433911312e-40,2.0511865858968756e-38,2020-11-19 10:53:24+00:00,2020-11-19 11:31:25+00:00,0.0,0.9032463938715061,903,903.0
37,0x56cc2bffcb3f86a30c492f9d1a671a1f744d1d2f,0.02040816326530612,0.04444444444444444,2.3999120588596315e-21,1.1770545519205616e-31,2.94263637980057e-30,2020-11-03 19:49:25+00:00,2022-09-10 11:30:02+00:00,0.28361344537815125,0.3948209780237616,395,398.73
38,0x578cea5f899b0dfbf05c7fbcfda1a644b2a47787,0.010204081632653062,0.022222222222222223,2.3999120588596315e-21,6.148393211062351e-40,2.050359844947222e-38,2020-11-21 15:01:26+00:00,2020-11-21 17:35:57+00:00,0.0,0.9032463938715392,903,903.0
39,0x58c2a9099a03750e9842d3e9a7780cdd6aa70b86,0.010204081632653062,0.022222222222222223,2.3999120588596315e-21,6.1597366351000956e-40,2.054140986293137e-38,2020-11-04 11:12:38+00:00,2020-11-04 11:36:32+00:00,0.0,0.9032463938713878,903,903.0
40,0x58d68d4bcf9725e40353379cec92b90332561683,0.2959183673469387,0.24444444444444444,1.0,5.456736594110545e-23,3.5203196789324723e-22,2020-12-10 20:19:59+00:00,2025-01-29 01:40:59+00:00,0.6344537815126051,0.06429716170231306,65,61.99
41,0x5e324b4a564512ea7c93088dba2f8c1bf046a3eb,0.010204081632653062,0.022222222222222223,2.3999120588596315e-21,6.150310138625057e-40,2.0509988208014568e-38,2020-11-19 23:02:30+00:00,2020-11-19 23:07:03+00:00,0.0,0.9032463938715135,903,903.0
42,0x612a3500559be7be7703de6dc397afb541a16f7f,0.7551020408163265,0.2888888888888889,3.0570942156614234e-05,1.6680834016826413e-27,4.389620765077343e-27,2020-11-30 09:35:24+00:00,2022-08-03 10:04:08+00:00,0.2567226890756303,0.035905066235556234,36,37.79
43,0x623af911f493747c216ad389c7805a37019c662d,0.38775510204081626,0.6666666666666666,9.890037594560542e-17,1.0762220143338236e-25,2.6905550358346933e-25,2018-03-03 09:51:23+00:00,2024-09-07 18:19:35+00:00,1.0,0.02079345595750824,21,19.81
44,0x6a2752a534faacaaa153bffbb973dd84e0e5497b,0.05102040816326531,0.04444444444444444,7.109003237431217e-10,3.878853026823666e-32,1.1082437219461253e-30,2020-12-20 09:15:20+00:00,2024-08-09 07:17:11+00:00,0.557563025210084,0.3071818691140251,307,308.72
45,0x6d69ca3711e504658977367e13c300ab198379f1,0.010204081632653062,0.022222222222222223,2.3999120588596315e-21,6.160172209825231e-40,2.0542861778681818e-38,2020-11-03 05:22:38+00:00,2020-11-03 12:59:51+00:00,0.0,0.9032463938713821,903,903.0
46,0x6e355417f7f56e7927d1cd971f0b5a1e6d538487,0.10204081632653061,0.06666666666666667,6.61805142121181e-11,3.610977224599613e-33,6.018295373052175e-32,2020-11-21 02:08:37+00:00,2020-11-26 16:01:14+00:00,0.002100840336134454,0.32265416613711584,323,319.7
47,0x70c1864282599a762c674dd9d567b37e13bce755,0.010204081632653062,0.022222222222222223,2.3999120588596315e-21,6.156488008163473e-40,2.0530581106475958e-38,2020-11-09 21:51:36+00:00,2020-11-09 21:53:47+00:00,0.0,0.9032463938714312,903,903.0
48,0x70d8e4ab175dfe0eab4e9a7f33e0a2d19f44001e,1.0,0.488888888888889,1.223696067249352e-06,6.339960149309528e-29,1.3016757213445436e-28,2020-03-16 16:51:52+00:00,2023-01-24 08:28:35+00:00,0.4382352941176471,0.012449358305779583,13,14.64
49,0x7399dbeebe2f88bc6ac4e3fd7ddb836a4bce322f,0.010204081632653062,0.022222222222222223,2.3999120588596315e-21,6.148166676116754e-40,2.0502843332986893e-38,2020-11-21 22:07:50+00:00,2020-11-21 22:17:11+00:00,0.0,0.9032463938715424,903,903.0
50,0x767055590c73b7d2aaa6219da13807c493f91a20,0.010204081632653062,0.022222222222222223,2.3999120588596315e-21,6.157469000212023e-40,2.0533851079971124e-38,2020-11-08 05:33:36+00:00,2020-11-08 05:35:38+00:00,0.0,0.9032463938714181,903,903.0
